timestamp,cpu_usage,ram_usage,disk_usage,disk_read,disk_write,battery_percent,process_count,heavy_process_count
2026-01-17 20:24:52,5.9,67.8,9.8,16384,2789376,63,244,3
2026-01-17 20:25:24,5.2,67.2,9.8,0,3411968,63,241,6
2026-01-17 20:25:56,8.4,67.4,9.8,158208,2916352,62,241,6
2026-01-17 20:26:28,7.9,67.0,9.8,65536,2142208,62,241,4
2026-01-17 20:27:00,7.8,67.1,9.8,81920,2912256,62,241,4
2026-01-17 20:27:31,6.6,66.7,9.8,32768,1970176,62,238,3
2026-01-17 20:28:03,8.7,66.7,9.8,0,2818048,62,238,6
2026-01-17 20:28:35,13.1,66.2,9.8,69632,2125824,61,238,4
2026-01-17 20:29:06,8.1,66.6,9.8,0,2445312,61,241,6
2026-01-17 20:29:38,15.1,67.0,9.8,4096,3973120,61,245,6
2026-01-17 20:30:10,7.3,66.9,9.8,126976,3198976,61,247,4
2026-01-17 20:30:42,6.1,66.6,9.8,317440,3782656,61,241,6
2026-01-17 20:31:14,7.8,67.8,9.8,2736640,4718592,60,242,4
2026-01-17 20:31:46,12.9,67.1,9.8,380928,5997056,60,238,2
2026-01-17 20:32:17,9.0,66.7,9.8,17408,4075520,60,241,2
2026-01-17 20:32:49,5.3,66.1,9.8,229376,2990080,60,241,4
2026-01-17 20:33:21,15.6,66.2,9.8,12288,2768896,59,242,4
2026-01-17 20:33:53,20.9,66.5,9.8,196608,2732032,59,241,7
2026-01-17 20:34:25,1.8,66.3,9.8,237568,4235264,59,242,2
2026-01-17 20:34:57,2.4,65.8,9.8,143360,3010560,59,241,1
2026-01-17 20:35:28,0.8,65.6,9.8,36864,2392064,59,240,3
2026-01-17 20:36:00,1.2,65.1,9.8,0,3026944,59,237,4
2026-01-17 20:36:31,3.2,65.6,9.8,65536,2809856,58,237,1
2026-01-17 20:37:02,6.6,65.1,9.8,32768,5427200,58,236,1
2026-01-17 20:37:33,11.8,65.1,9.8,12288,6078464,58,237,4
2026-01-17 20:38:05,13.6,66.6,9.8,36864,4165632,58,239,4
2026-01-17 20:38:36,13.2,67.1,9.8,131072,4083712,58,239,5
2026-01-17 20:39:08,11.4,67.5,9.8,0,4341760,58,244,7
2026-01-17 20:39:40,13.7,67.1,9.8,0,3526656,57,240,6
2026-01-17 20:40:11,6.0,66.9,9.8,0,3178496,57,238,6
2026-01-17 20:40:43,6.3,67.3,9.8,212992,3780608,57,239,3
2026-01-17 20:41:14,5.9,67.2,9.8,0,2363392,57,238,6
2026-01-17 20:41:46,7.1,66.9,9.8,49152,3362816,56,236,7
2026-01-17 20:42:17,12.4,66.9,9.8,131072,1953792,56,236,6
2026-01-17 20:42:48,7.9,66.9,9.8,0,2183168,56,235,3
2026-01-17 20:43:19,12.6,66.8,9.8,65536,2494464,56,235,4
2026-01-17 20:43:51,8.1,66.8,9.8,57344,9752576,56,238,4
2026-01-17 20:44:22,9.1,66.9,9.8,0,3293184,55,237,4
2026-01-17 20:44:53,10.8,66.9,9.8,0,2650112,55,237,3
2026-01-17 20:45:24,5.5,66.9,9.8,0,2691072,55,239,2
2026-01-17 20:45:56,16.6,67.4,9.8,13893632,6459392,55,249,7
2026-01-17 20:46:29,13.7,68.4,9.8,20053504,12963840,54,251,5
2026-01-17 20:47:01,9.4,66.6,9.8,817664,28146176,54,245,4
2026-01-17 20:47:34,24.0,65.7,9.8,65536,6180864,54,247,4
2026-01-17 20:48:06,12.1,65.0,9.8,0,4431872,54,243,4
2026-01-17 20:48:38,9.0,65.0,9.8,3716608,3108864,53,242,3
2026-01-17 20:49:10,11.2,65.8,9.8,196608,26726400,53,249,6
2026-01-17 20:49:43,7.4,65.4,9.8,0,2859008,53,244,5
2026-01-17 20:50:15,6.5,65.3,9.8,0,4063232,53,243,5
2026-01-17 20:50:47,8.2,65.3,9.8,135168,3072000,53,245,4
2026-01-17 20:51:19,26.1,66.1,9.8,16993792,7491584,53,249,6
2026-01-17 20:51:52,14.9,66.1,9.8,112640,221120512,52,244,6
2026-01-17 20:52:25,11.4,66.0,9.8,106496,25186304,52,245,4
2026-01-17 20:52:57,10.8,64.9,9.8,0,2842624,52,245,4
2026-01-17 20:53:29,11.0,65.0,9.8,0,3608576,52,245,4
2026-01-17 20:54:01,12.1,64.9,9.8,0,3534848,51,245,4
2026-01-17 20:54:33,11.1,66.7,9.8,118784,4055040,51,247,7
2026-01-17 20:55:06,9.0,65.7,9.8,65536,3362816,51,247,4
2026-01-17 20:55:38,12.9,65.2,9.8,0,2658304,50,245,5
