cpu,ram,disk,battery,disk_read,disk_write,process_count
4.9,72.4,24.9,51,23338225152,18381295104,253
12.2,72.7,24.9,51,23339407872,18383957504,255
5.7,72.7,24.9,51,23339439104,18384428544,255
7.1,72.6,24.9,51,23339439104,18385030656,255
5.6,72.7,24.9,51,23339439104,18385313280,255
2.5,72.6,24.9,51,23339439104,18385821184,255
13.3,72.8,24.9,51,23339660800,18387509248,254
16.4,73.0,24.9,51,23339729920,18388029440,254
15.0,73.1,24.9,51,23339742720,18388475904,256
18.7,73.0,24.9,51,23339746816,18389504000,254
11.4,73.1,24.9,51,23339769344,18390245376,254
8.6,74.1,24.9,51,23341007872,18393042944,254
7.7,73.6,24.9,51,23341859328,18395127808,254
3.8,73.6,24.9,51,23341990400,18395742208,254
8.7,73.9,24.9,51,23341990400,18396528640,254
9.6,74.1,24.9,51,23342248448,18397409280,254
9.9,73.9,24.9,51,23342248448,18398609408,254
3.9,74.0,24.9,51,23342508032,18399109120,256
1.9,74.0,24.9,51,23342609408,18399440896,254
11.2,74.1,24.9,51,23342609408,18399891456,253
4.7,73.9,24.9,50,23342609408,18400657408,254
17.9,73.9,24.9,50,23342670848,18402050048,254
11.0,73.9,24.9,50,23342670848,18402930688,254
4.8,73.7,24.9,50,23351908864,18404749312,254
6.2,73.9,24.9,50,23353209856,18406113280,254
